,media,mediana,moda,std,varianza,min,q1,q3,max
age,26.5688,27.0,31.0,5.197108287429992,27.009934551273506,18.0,22.0,31.0,35.0
daily_screen_time_hours,7.499911999999999,7.525,8.13,2.6091875057537273,6.807859440181357,3.0,5.22,9.81,12.0
social_media_hours,3.273484,3.27,0.99,1.5853415350585198,2.513307782781704,0.5,1.91,4.63,6.0
gaming_hours,2.0141826666666667,2.04,2.37,1.1460391322835588,1.3134056927252522,0.0,1.02,2.99,4.0
work_study_hours,3.24242,3.23,3.07,1.6007649182114314,2.5624483233764503,0.5,1.85,4.64,6.0
sleep_hours,6.737561333333333,6.72,7.77,1.283604878887153,1.6476414851029026,4.5,5.63,7.84,9.0
notifications_per_day,134.25733333333332,134.0,184.0,66.58688275190671,4433.812954616172,20.0,76.0,191.0,250.0
app_opens_per_day,97.8324,98.0,109.0,48.42334856586759,2344.820686331511,15.0,55.0,140.0,180.0
weekend_screen_time,9.243826666666669,9.26,11.92,2.718280981948297,7.389051496821798,3.58,6.96,11.54,14.88
addicted_label,0.7077333333333333,1.0,1.0,0.4548345253843641,0.20687444548161976,0.0,0.0,1.0,1.0
